Subject,Gender,Handedness,Age_in_Yrs,PicSeq_Unadj,PicSeq_AgeAdj,CardSort_Unadj,CardSort_AgeAdj,Flanker_Unadj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_Unadj,ReadEng_AgeAdj,PicVocab_Unadj,PicVocab_AgeAdj,ProcSpeed_Unadj,ProcSpeed_AgeAdj,ListSort_Unadj,ListSort_AgeAdj,CogFluidComp_Unadj,CogFluidComp_AgeAdj,CogEarlyComp_Unadj,CogEarlyComp_AgeAdj,CogTotalComp_Unadj,CogTotalComp_AgeAdj,CogCrystalComp_Unadj,CogCrystalComp_AgeAdj
100206,1,65,27,125.07,118.78,119.14,104.94,130.42,116.55,20,0,18574.5,113.546,103.4441,119.8914,117.0361,138.72,131.89,112.89,103.57,134.34,130.07,133.56,128.23,137.66,133.76,117.33,113.89
100307,0,95,27,110.61,103.45,123.75,109.92,112.56,101.9,17,2,11839,111.07,98.73,107.2,96.81,122.65,112.36,108.06,98.44,118.16,107.88,116.2,104.11,116.73,106.85,109.38,97.42
100408,1,55,33,125.71,125.19,111.14,100.77,121.18,113.51,7,12,3042,131.81,125.64,134.24,132.63,107.08,96,108.06,102.63,116.64,113.77,132.46,129.99,137.53,133.96,134.34,134.57
100610,1,85,27,109.04,101.69,129.84,115.18,126.53,114.18,23,0,12280,141.3166,132.4124,140.8151,146.5971,111.11,96.12,117.39,108.26,124.23,115.63,138.14,133.47,153.36,153.36,144.96,149.19
101006,0,90,35,84.68,70,105.19,94.3,101.85,92.33,11,8,6569,113.5374,101.1697,95.42348,69.45302,90.59,71.99,93.9,84.01,91.44,72.02,94.34,71.34,94.39,72.15,104.51,82.93
101107,1,5,22,105.6,97.37,119.76,105.69,107.04,96.19,14,5,6880,119.2434,112.9757,119.8459,116.9699,112.27,97.87,130.38,123.73,117.37,106.57,115.48,102.96,126.37,120.13,120.73,118.74
101309,1,45,29,102.89,93.36,99.76,86.03,113.67,103.37,15,4,12558,106.9173,92.68638,123.3551,121.3679,105.28,87.33,117.39,108.26,107.14,90.01,110.35,95.03,112.6,100.32,115.59,110.72
101410,1,75,29,114.48,111.31,116.89,106.84,108.46,100.58,19,0,21640,113.5714,101.2901,112.2394,99.97051,104.06,91.83,112.89,107.32,112.21,106.16,115.41,106.92,114.91,105.44,113.32,100.14
101915,0,-75,35,95.13,84.96,102.25,90.94,98.94,89.1,21,0,51977,120.95,113.58,121.63,113.17,103.25,90.69,117.39,112.66,101.27,87.99,103.15,86.62,113.58,103.22,122.72,117.73
102008,1,80,24,113.72,107.36,119.59,105.44,115.5,105.49,20,0,23596,128.1398,123.9263,124.8017,123.7913,137.25,130.65,100.43,89.14,121.39,112.08,124.52,116.11,135.31,131.66,127.84,129.31
102109,1,-25,27,108.89,101.07,112.47,97.83,110.38,99.78,21,0,20678,115.1095,106.2624,122.3403,119.7597,93.82,71.1,121.89,113.85,109.52,93.65,116.19,104.1,118.46,109.51,119.86,117.69
102311,0,10,26,118.8,112.67,102.83,88.48,111.75,101.18,20,0,22781.5,110.8,98.26,116.52,112.16,91.68,68.81,121.89,113.85,109.45,93.44,114.41,101.4,113.37,101.53,114.22,107.45
102513,1,50,30,116.13,113.29,102.84,91.6,86.31,72.81,18,1,26980,124.8705,118.5772,121.2287,112.5362,60.09,46.07,112.89,107.32,91.92,72.82,106.09,91.18,107.41,92.5,124.14,120.41
102614,1,80,23,135.55,130.24,124.08,110.24,124.64,112.7,18,1,13084,106.7909,92.45191,112.6225,107.1083,152.77,143.56,117.39,108.26,142.47,139.94,134.72,129.33,137.81,134.26,109.88,98.7
102715,1,95,26,105.63,97.39,116.16,101.68,104.59,93.3,22,0,17855,121.6283,116.2795,124.4154,123.2858,126.95,118.18,117.39,108.26,115.9,104.28,114.81,102.02,127.39,122.45,124.12,124.02
102816,0,100,30,114.48,111.31,117.1,106.96,96.95,86.93,17,2,15126,100.9,82.73,99.04,75.35,104.82,93.01,117.39,112.66,110.62,102.9,106.42,91.8,103.85,86.38,100.2,75.59
103010,1,70,25,108.04,99.78,108.06,93.54,85.74,71.24,19,0,14189,115.394,106.7579,105.4383,93.02147,105.28,87.33,126.18,118.14,105.67,87.61,99.77,77.89,107.7,91.51,110.66,100.28
103111,1,70,30,110.7,106.3,107.69,96.85,103.86,94.84,21,0,16468,118.7641,110.2203,123.1029,114.8949,97.15,81.57,126.18,122.75,109.13,100.56,112.58,102.43,120.2,113.45,122.41,117.11
103212,1,45,34,103.28,96.62,101.41,90.09,95.94,85.86,15,4,7730,127.1703,121.4059,124.138,117.5293,100.29,86.51,130.38,127.41,105.1,94.11,105.49,90.18,120.74,114.23,127.06,124.11
103414,0,75,25,92.36,78.81,107.52,92.93,102.76,91.22,17,2,7301,111.35,99.07,108.83,99.8,110.41,94.9,112.89,103.57,103.52,84.22,101.13,79.82,105.82,88.44,110.27,99.49
103515,0,100,28,99.4,87.38,103.94,89.34,106.97,96.09,8,11,6731,87.66,67.27,102.58,87.36,102.02,82.95,96.99,85.26,99.21,77.63,101.54,80.59,93.91,69.84,95.79,71.99
103818,0,100,32,101.01,92.52,107.93,97.14,101.75,92.26,16,3,12518.5,120.49,112.95,130.89,128.16,107,95.98,117.39,112.66,106.19,95.9,111.04,100.08,121.59,115.58,127.07,124.18
104012,0,100,26,97.65,85.4,110.61,96.05,100.62,89.05,10,9,3635,102.5179,86.4437,107.49,97.16158,109.05,92.66,96.99,85.26,100.72,79.7,102.79,82.62,100.07,79.29,105.19,87.94
104416,0,65,31,135.55,134.81,119.59,109.7,115.12,108.23,23,0,12040,128.4841,122.4943,124.514,118.1042,134.82,133.66,108.06,102.63,130.75,131.74,133.63,131.7,144.26,143.78,127.85,125.37
104820,0,70,36,93.23,82.55,115.46,105.44,108.94,101.24,15,4,16529,103.5371,86.05419,99.55872,76.44249,117.2,111.48,112.89,107.32,109.61,101.58,102.99,86.13,104.17,86.97,101.67,77.78
105014,0,100,29,125.71,121.69,101.87,87.77,97.68,86.06,21,0,33614,130.17,125.99,115.13,110.52,90.22,67.35,112.89,103.57,104.13,85.35,110.64,95.57,117.16,107.29,123.81,123.5
105115,1,75,31,110.7,106.3,109.62,99.13,106.14,97.76,22,0,20070,119.17,111.07,121.81,113.4,103.91,91.59,126.18,122.75,112.18,105.98,113.81,104.35,122.54,116.5,121.84,116.28
105216,1,75,27,135.55,130.24,138.6,118.44,137.11,120.57,22,0,20162.5,125.67,121.59,126.21,126.51,125.96,116.84,121.89,113.85,144.52,141.25,149.61,147.62,153.36,153.36,127.32,127.97
105620,0,90,34,125.07,122.27,143.94,122.65,115.04,108.08,22,0,11795,125.504,119.3408,120.2309,111.403,121.22,117.3,121.89,117.24,134.77,136.5,137.38,136.67,144.37,143.87,123.98,120.16
105923,0,35,33,115.73,112.28,109.81,99.33,112.7,105.48,22,0,34943.5,129.6218,123.7607,114.8966,103.9747,76.8,53.53,117.39,112.66,105.39,94.52,115.79,107.47,118.07,110.18,123.51,119.01
106016,0,50,33,111.46,107.41,111.97,101.78,113.61,106.4,22,0,27052.5,117.37,108.15,115.38,104.75,116.45,110.4,108.06,102.63,113.59,108.46,115.58,107.06,119.38,112.08,117,107.77
106319,1,65,28,135.55,130.24,128.03,113.71,113.89,103.63,24,0,30114.5,131.75,127.66,126.34,126.74,94.79,72.39,104.06,94.33,117.72,107.24,136.84,132.46,134.67,131.22,131.06,132.49
106521,0,90,29,112.39,106.06,124.39,110.35,113.07,102.39,23,0,27636,135.9465,130.3199,125.0447,124.2095,145.54,137.14,133.93,128.24,135.39,131.41,124.99,117.01,153.36,153.36,133.52,134.58
106824,1,65,22,135.55,130.24,114.82,100.3,111.44,100.96,22,0,12856,119.5151,113.3487,123.0852,120.7369,121.22,110.48,130.38,123.73,130.82,124.28,128.89,122.84,139.38,135.54,122.72,121.7
107018,0,75,26,104.47,95.39,103.3,88.76,101.57,89.66,10,9,3890,120.6881,114.7943,121.8928,119.3654,115.83,103.13,108.06,98.44,105.61,87.55,107.65,90.28,117.5,107.92,122.72,121.64
107220,0,90,26,106.4,98.24,108.78,94.27,97.55,86,19,0,23849,122.0843,117.1965,122.9939,120.5509,104.06,85.5,112.89,103.57,104.55,85.97,109.2,92.85,117.49,107.8,123.73,123.36
107321,0,65,25,135.55,130.24,115.07,100.67,126.63,114.29,23,0,23690,123.78,118.84,128.4,130.2,127.84,119.6,130.38,123.73,136.46,133.33,138.08,133.35,153.36,153.36,127.49,128.4
107422,1,80,22,111.46,104.6,114.79,100.27,126.11,113.75,24,0,25985,134.8629,129.8786,133.0329,134.2571,128.25,119.78,137.98,132.49,132.35,126.89,129.05,123.24,153.36,153.36,135.27,139.39
107725,0,-40,35,114.48,111.31,113.99,103.76,118.66,111.67,10,9,6075,107.0862,91.00412,99.54417,76.41906,106.57,95.29,93.9,84.01,109.56,101.54,113.04,103.28,105.35,88.74,103.39,80.79
